Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (individual),,,,%,,,,TOTAL (small groups),,,,%,,,,TOTAL (big groups),,,,%,,,,TOTAL (whole class),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,3) Expected use of resoruces (indvidual report4),* Accesses to GDocs,activity,2,2,2,0,2,0,0,0,0,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report5),* Accesses to GDocs,activity,2,2,2,0,2,0,0,0,0,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report6),* Accesses to GDocs,activity,3,2,2,0,2,1,1,0,1,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report7),* Accesses to GDocs,activity,3,1,1,0,1,2,1,0,1,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report8),* Accesses to GDocs,activity,3,2,2,0,2,1,1,0,1,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report9),* Accesses to GDocs,activity,2,1,1,0,1,1,0,0,0,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report10),* Accesses to GDocs,activity,2,2,2,0,2,0,0,0,0,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report11),* Accesses to GDocs,activity,3,2,2,0,2,1,1,0,1,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report12),* Accesses to GDocs,activity,3,2,2,0,2,1,0,0,0,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,,,,,,,,,3,0,0,2,100.00,0.00,0.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report13),* Accesses to GDocs,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report14),* Accesses to GDocs,activity,2,1,1,0,1,1,0,0,0,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,,,,,,,,,2,0,0,1,100.00,0.00,0.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report15),* Accesses to GDocs,activity,2,1,1,0,1,1,1,0,1,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,2,0,0,2,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4) Expected use of resources (group report),"* Accesses/editions to Gdocs (group)
* Teacher comments / submissions",activity,6,6,6,0,6,0,0,0,0,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5) Collaboration,"* Attendance to the lab session
* Accesses to Gdocs (individual)
* Accesses/editions to Gdocs (group)",activity,6,6,6,6,6,0,0,0,0,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6)  Impact on future activities (the small group proposal is reused in 3.1),* Accesses /editions to Gdocs,pattern,6,6,6,0,6,0,0,0,0,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7) Impact on future activities (level 3 groups),"* Attendance to the lab session
* Accesses to Gdocs (individual)
* Accesses/editions to Gdocs (group)",pattern,3,3,3,3,3,0,0,0,0,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
Level 3,"Activity 3.1
Final research proposal
(monitored)",Blended,Blended,Big group,1) Individual participation,"* Attendance to the lab session
* Access to Gdocs (small group proposal)
* Access to Gdocs (big group proposal)
* Access to Description (small group proposal)",activity,15,15,15,13,15,0,0,0,0,15,0,13,15,100.00,0.00,86.67,100.00,,,,,,,,,15,0,13,15,100.00,0.00,86.67,100.00,,,,,,,,,,,,,,,,,15,0,13,15,100.00,0.00,86.67,100.00,,,,,,,,,15,0,13,15,100.00,0.00,86.67,100.00,,,,,,,,,,,,,,,,,,,,,,,,,15,0,13,15,100.00,0.00,86.67,100.00,,,,,,,,,30,3,19,30,90.90909091,9.090909091,57.57575758,90.90909091
,,,,,2) Collaboration (between group members),,activity,3,3,3,3,3,0,0,0,0,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (Gdocs small group proposal),* Accesses/editions to Gdocs (small group proposal),activity,6,3,3,0,3,3,0,0,0,3,3,0,3,50.00,50.00,0.00,50.00,,,,,,,,,3,3,0,3,50.00,50.00,0.00,50.00,,,,,,,,,,,,,,,,,3,3,0,3,50.00,50.00,0.00,50.00,,,,,,,,,3,3,0,3,50.00,50.00,0.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,50.00,50.00,0.00,50.00,,,,,,,,,,,,,,,,
,,,,,4) Expected use of resoruces (Gdocs big group proposal),* Accesses/editions to Gdocs (big group proposal),activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
,,,,,5)Group formation,"* Attendance to the lab session
* Access to Gdocs (small group proposal)
* Access to Gdocs (big group proposal)
* Access to Description (small group proposal)",activity,3,3,3,3,3,0,0,0,0,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,
,,,,,6)  Impact on future activities (the big group proposal is reused in 3.2),* Accesses /editions to Gdocs,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
,"Activity 3.2
Development of the research plan
(monitored)",Blended,Distance,Big group,1) Individual participation,"* Access to Gdocs (big group proposal)
* Access to Description (small group proposal)",activity,15,15,15,0,15,0,0,0,0,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,27,0,0,27,100,0,0,100
,,,,,2) Expected use of resources (big group proposal),* Accesses/editions to Description (small group proposal),activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
,,,,,3) Collaboration (between group members),"* Attendance to the lab session
* Editions/uploads in MediaWiki",activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
,,,,,4) Impact on future activities (peer-review),"* Access to Gdocs (big group proposal)
* Access to Description (small group proposal)",pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
,,,,,6)  Impact on future activities (the big group proposal is reused in 3.3),* Accesses /editions to Gdocs,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
,"Activity 3.3
Peer review
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,"* Access to Gdocs (big group proposal)
* Editions in MediaWiki",activity,15,15,15,0,15,0,0,0,0,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,26,1,0,26,96.2962963,3.703703704,0,96.2962963
,,,,,2)Expected use of resources (proposals),* Access to Gdocs (big group proposal),activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resources (wiki),* Editions in MediaWik,activity,3,2,3,0,2,1,0,0,0,2,1,0,2,66.67,33.33,0.00,66.67,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4)  Impact on future activities (the review is reused in 3.4),* Editions in MediaWik,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5)  Impact on future activities (the review is reused in 3.5),* Editions in MediaWik,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Activity 3.4
Answer to the reviewers
(monitored)",Blended,Blended,Big group,1) Individual participation,"* Attendance to the lab session
* Editions in MediaWiki
* Access to description",activity,15,15,15,15,15,0,0,0,0,15,0,15,15,100.00,0.00,100.00,100.00,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,21,0,21,21,100,0,100,100
,,,,,2)Expected use of resources (wiki review),* Editions in MediaWiki,activity,3,3,3,3,3,0,0,0,0,3,0,3,3,100.00,0.00,100.00,100.00,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,
,,,,,3) Collaboration (between group members),"* Attendance to the lab session
* Editions in MediaWiki
* Access to description",activity,3,3,3,3,3,0,0,0,0,3,0,3,3,100.00,0.00,100.00,100.00,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,
,"Activity 3.5
Improvement of the proposals
(monitored)",Blended,Blended,Big group,1) Individual participation,"* Attendance to the lab session
* Accesses to Gdocs (proposal)",activity,15,15,15,15,15,0,0,0,0,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,15,100.00,0.00,100.00,100.00,,,,,,,,,26,1,18,26,96.2962963,3.703703704,66.66666667,96.2962963
,,,,,2) Collaboration (between group members),"* Attendance to the lab session
* Accesses to Gdocs (proposal)",activity,3,3,3,3,3,0,0,0,0,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,
,,,,,3)Expected use of resources (improved proposal),* Accesses/editions to Gdocs (proposal),activity,3,2,3,0,2,1,0,0,0,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,66.67,33.33,0.00,66.67,,,,,,,,,,,,,,,,
,,,,,4) Expected use of resources (workgroup report),* Accesses/editions to Gforms,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,
