Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources and actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (individual),,,,%,,,,TOTAL (small groups),,,,%,,,,TOTAL (big groups),,,,%,,,,TOTAL (whole class),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
Experts,"Activity 2.1
Subproblem discussion
(monitored)",Blended,Blended,Expert group,1) Individual participation,"* Accesses to Gdraw
* Editions/ Accesses to Gdocs
* Attendance to the lab session",activity,150,149,149,0,149,1,1,1,1,150,0,1,150,100.0,0.0,0.7,100.0,,,,,,,,,150,0,1,150,100.0,0.0,0.7,100.0,,,,,,,,,,,,,,,,,150,0,1,150,100.0,0.0,0.7,100.0,,,,,,,,,150,0,1,150,100.0,0.0,0.7,100.0,,,,,,,,,,,,,,,,,150,0,1,150,100.0,0.0,0.7,100.0,,,,,,,,,,,,,,,,,316,0,1,316,100.0,0.0,0.3,100.0
,,,,,2) Expected use of resources (GDraw),* Accesses to Gdraw,activity,60,59,59,0,59,1,1,0,1,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Collaboration (between experts),"* Accesses to Gdraw
* Editions/ Accesses to Gdocs
* Attendance to the lab session",activity,60,60,60,0,60,0,0,0,0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4) Impact on future activities (jigsaw groups with enough experts),"* Accesses to Gdraw
* Editions/ Accesses to Gdocs
* Attendance to the lab session",pattern,23,23,23,0,23,0,0,0,0,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5) Impact on future activities (jigsaw groups),"* Attendance to the lab session
*Teacher's notes",pattern,23,22,22,0,22,1,1,0,1,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
Jigsaw,"Activity 3.1
Solution proposal
(monitored)",Blended,Blended,Jigsaw group,1) Individual participation,"* Attendance to the lab session
* Editions/ Accesses to Gdocs
* Editions/ Accesses to Gforms",activity,150,148,148,4,148,2,2,1,2,150,0,5,150,100.0,0.0,3.3,100.0,,,,,,,,,150,0,5,150,100.0,0.0,3.3,100.0,,,,,,,,,,,,,,,,,150,0,5,150,100.0,0.0,3.3,100.0,,,,,,,,,150,0,5,150,100.0,0.0,3.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,150,0,5,150,100.0,0.0,3.3,100.0,,,,,,,,,217,2,14,217,99.1,0.9,6.4,99.1
,,,,,2) Expected use of resources (Gdocs),* Accesses/ editions to the Gdocs,activity,23,23,21,6,23,0,2,2,0,21,2,8,21,91.3,8.7,34.8,91.3,,,,,,,,,21,2,8,21,91.3,8.7,34.8,91.3,,,,,,,,,,,,,,,,,21,2,8,21,91.3,8.7,34.8,91.3,,,,,,,,,21,2,8,21,91.3,8.7,34.8,91.3,,,,,,,,,,,,,,,,,,,,,,,,,21,2,8,21,91.3,8.7,34.8,91.3,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resources (Gforms),* Accesses to the Gforms,activity,23,0,0,0,0,23,23,0,23,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,
,,,,,5) Group formation (one expert from each area),"* Attendance to the lab session
* Editions/ Accesses to Gdocs
* Editions/ Accesses to Gforms",pattern,23,21,21,0,21,2,2,1,2,23,0,1,23,100.0,0.0,4.3,100.0,,,,,,,,,23,0,1,23,100.0,0.0,4.3,100.0,,,,,,,,,,,,,,,,,23,0,1,23,100.0,0.0,4.3,100.0,,,,,,,,,,,,,,,,,23,0,1,23,100.0,0.0,4.3,100.0,,,,,,,,,,,,,,,,,23,0,1,23,100.0,0.0,4.3,100.0,,,,,,,,,,,,,,,,
,,,,,,,,1217,1176,1172,12,1176,41,45,7,41,1213,4,19,1213,99.67,0.33,1.56,99.67,680,2,4,680,99.70674487,0.293255132,0.5865102639,99.70674487,533,2,15,533,99.62616822,0.3738317757,2.803738318,99.62616822,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,680,2,4,680,99.70674487,0.293255132,0.5865102639,99.70674487,533,2,15,533,99.62616822,0.3738317757,2.803738318,99.62616822,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,918,4,18,918,99.56616052,0.4338394794,1.952277657,99.56616052,295,0,1,295,100,0,0.3389830508,100,680,2,4,680,99.70674487,0.293255132,0.5865102639,99.70674487,316,0,1,316,100,0,0.3164556962,100,217,2,14,217,99.08675799,0.9132420091,6.392694064,99.08675799,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1213,4,19,1213,99.7,0.3,1.6,99.7
,,,,,,,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
